                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2844,                  4.145,                 1.8272,                0.18077,                0.65714,                0.19607,                0.08064,                 1.3259,                 15.872,                  2.479,                0.00044,                0.00044,                0.00044
                      2,                 1.0705,                 1.4024,                 1.6281,                0.32258,                0.57143,                0.31465,                0.14715,                 1.6436,                 11.151,                 4.3553,             0.00088812,             0.00088812,             0.00088812
                      3,                 1.1508,                 1.3454,                 1.6658,                0.25843,                0.65714,                0.25145,                0.09376,                 1.8006,                 18.644,                 3.6569,              0.0013241,              0.0013241,              0.0013241
                      4,                 1.2262,                 1.2402,                 1.7245,                0.02435,                0.02857,                0.00142,                0.00032,                 4.1524,                 7.8712,                 6.4377,              0.0017479,              0.0017479,              0.0017479
                      5,                 1.2485,                 1.2178,                 1.7303,                0.08849,                0.02857,                0.00362,                0.00039,                 5.1668,                 7.2249,                 10.722,              0.0018944,              0.0018944,              0.0018944
                      6,                 1.1876,                 1.1707,                 1.7012,                0.06053,                0.02857,                0.00301,                0.00044,                 4.6151,                 5.2608,                 5.3841,              0.0018944,              0.0018944,              0.0018944
                      7,                 1.1466,                  1.081,                 1.6664,                0.12861,                    0.2,                0.04913,                0.02161,                  2.829,                 5.6731,                 3.2069,               0.001868,               0.001868,               0.001868
                      8,                 1.1408,                0.96356,                 1.6588,                0.12664,                0.25714,                0.07096,                0.02449,                 2.7124,                 3.1201,                 3.3512,              0.0018416,              0.0018416,              0.0018416
                      9,                 1.0779,                0.93046,                 1.5999,                0.76511,                0.48571,                0.62843,                0.36614,                 1.6231,                 1.4719,                 2.4452,              0.0018152,              0.0018152,              0.0018152
                     10,                 1.0608,                0.94227,                 1.5964,                0.49884,                0.71429,                0.60689,                0.29735,                 1.8117,                 1.8278,                 2.6366,              0.0017888,              0.0017888,              0.0017888
                     11,                 1.0609,                0.88292,                  1.601,                0.76881,                    0.8,                0.84101,                0.58358,                0.93211,                 1.0316,                 1.6469,              0.0017624,              0.0017624,              0.0017624
                     12,                 1.0427,                0.91747,                 1.5729,                0.94675,                0.77143,                0.90751,                0.63105,                 1.2952,                 1.1648,                 2.1124,               0.001736,               0.001736,               0.001736
                     13,                 1.0101,                0.85258,                 1.5209,                      1,                0.78338,                 0.9378,                0.62814,                 1.0025,                 1.0422,                 1.6642,              0.0017096,              0.0017096,              0.0017096
                     14,                0.98278,                0.81152,                 1.4919,                0.91077,                 0.8751,                0.94507,                0.64976,                 1.1024,                0.82692,                 1.7405,              0.0016832,              0.0016832,              0.0016832
                     15,                0.93509,                0.76198,                  1.453,                0.92756,                0.88571,                0.97466,                0.64293,                 1.0618,                0.87046,                  1.699,              0.0016568,              0.0016568,              0.0016568
                     16,                0.92328,                0.77003,                 1.4413,                0.91179,                0.94286,                0.95785,                0.63974,                 1.1876,                 1.2455,                  1.778,              0.0016304,              0.0016304,              0.0016304
                     17,                 0.9313,                0.74936,                 1.4621,                0.91963,                0.77143,                0.86771,                0.54155,                 1.4215,                0.95367,                 2.1595,               0.001604,               0.001604,               0.001604
                     18,                0.90249,                0.68207,                 1.4292,                0.96371,                0.94286,                0.95993,                0.76288,                0.73852,                0.66119,                 1.3621,              0.0015776,              0.0015776,              0.0015776
                     19,                0.90359,                0.70396,                 1.4453,                0.97049,                0.93966,                0.98699,                0.74926,                0.83006,                0.64321,                 1.4934,              0.0015512,              0.0015512,              0.0015512
                     20,                0.95791,                0.71852,                 1.5262,                0.99138,                0.97143,                0.99392,                0.75123,                0.85209,                0.54744,                 1.5184,              0.0015248,              0.0015248,              0.0015248
                     21,                0.92743,                0.73612,                 1.4277,                0.99704,                0.97143,                0.99444,                0.72568,                 0.9841,                0.59718,                 1.5042,              0.0014984,              0.0014984,              0.0014984
                     22,                0.89163,                0.71273,                 1.4383,                0.99336,                0.94286,                0.98924,                0.80246,                0.74902,                0.50001,                 1.3199,               0.001472,               0.001472,               0.001472
                     23,                0.85776,                0.65228,                 1.4146,                0.96483,                      1,                0.99444,                 0.7811,                 0.7691,                0.61354,                 1.4013,              0.0014456,              0.0014456,              0.0014456
                     24,                0.82568,                0.66542,                 1.3628,                0.97205,                0.99392,                0.98389,                0.76859,                0.81697,                0.57826,                 1.4286,              0.0014192,              0.0014192,              0.0014192
                     25,                0.85805,                 0.6374,                 1.3981,                      1,                 0.9884,                  0.995,                 0.8344,                0.59415,                 0.4732,                 1.1708,              0.0013928,              0.0013928,              0.0013928
                     26,                 0.8344,                0.63084,                 1.3865,                 0.9454,                0.98966,                 0.9923,                0.80595,                0.84871,                0.56356,                 1.4876,              0.0013664,              0.0013664,              0.0013664
                     27,                0.80423,                0.61059,                 1.3559,                      1,                0.99701,                  0.995,                0.87105,                0.69834,                0.47516,                 1.3041,                0.00134,                0.00134,                0.00134
                     28,                0.79855,                0.62552,                 1.3552,                0.96711,                0.94286,                0.98835,                0.79058,                0.78949,                0.56033,                 1.4029,              0.0013136,              0.0013136,              0.0013136
                     29,                0.80367,                0.57745,                 1.3354,                0.99616,                      1,                  0.995,                0.80972,                 0.7545,                0.48498,                 1.3493,              0.0012872,              0.0012872,              0.0012872
                     30,                0.76575,                0.59226,                 1.3111,                0.99335,                0.97143,                0.98648,                 0.7964,                0.70486,                0.51482,                 1.4076,              0.0012608,              0.0012608,              0.0012608
                     31,                0.83221,                0.59562,                 1.3744,                0.95955,                0.97143,                0.96363,                0.77876,                 0.8618,                0.71264,                 1.4433,              0.0012344,              0.0012344,              0.0012344
                     32,                0.78071,                 0.5762,                 1.3265,                0.97066,                0.94524,                0.98515,                0.81887,                0.70632,                0.45927,                 1.2938,               0.001208,               0.001208,               0.001208
                     33,                0.77353,                0.57185,                 1.3392,                0.96867,                0.97143,                0.99207,                0.69381,                 1.6583,                 0.8109,                   2.08,              0.0011816,              0.0011816,              0.0011816
                     34,                0.78272,                0.57527,                  1.352,                0.99038,                      1,                  0.995,                0.79357,                0.73691,                0.45678,                 1.3743,              0.0011552,              0.0011552,              0.0011552
                     35,                0.75693,                0.55171,                 1.3027,                0.99491,                      1,                  0.995,                0.83278,                0.71889,                0.51407,                  1.273,              0.0011288,              0.0011288,              0.0011288
                     36,                0.72272,                0.50753,                 1.2881,                0.99677,                      1,                  0.995,                 0.8421,                0.69582,                0.46536,                 1.2826,              0.0011024,              0.0011024,              0.0011024
                     37,                0.75229,                0.54511,                 1.3026,                0.99686,                      1,                  0.995,                0.83421,                0.72829,                0.43204,                 1.2578,               0.001076,               0.001076,               0.001076
                     38,                0.71978,                0.53743,                 1.2907,                0.97098,                      1,                0.99444,                0.74469,                 1.1432,                0.60066,                 1.6467,              0.0010496,              0.0010496,              0.0010496
                     39,                 0.7486,                0.53764,                  1.292,                      1,                0.98951,                  0.995,                0.79711,                0.75062,                0.45868,                 1.3016,              0.0010232,              0.0010232,              0.0010232
                     40,                0.70455,                0.50958,                 1.2633,                      1,                0.96936,                 0.9875,                0.80362,                0.70938,                0.51846,                 1.2539,              0.0009968,              0.0009968,              0.0009968
                     41,                0.73412,                0.53965,                 1.2989,                0.99194,                0.94286,                0.99164,                0.82589,                0.70565,                0.42406,                 1.2589,              0.0009704,              0.0009704,              0.0009704
                     42,                0.71121,                0.52076,                 1.2847,                0.85126,                0.91429,                0.91947,                0.54174,                 2.1742,                 1.3158,                 3.5705,               0.000944,               0.000944,               0.000944
                     43,                0.71501,                0.51347,                 1.2868,                0.99546,                      1,                  0.995,                0.80317,                0.65236,                 0.3934,                 1.3239,              0.0009176,              0.0009176,              0.0009176
                     44,                0.68623,                 0.4926,                 1.2635,                0.99853,                0.97143,                0.99167,                0.81354,                0.64235,                0.44613,                 1.2576,              0.0008912,              0.0008912,              0.0008912
